date,long,lat,magnitude,depth
11/10/2018,176.7651266,-39.89127038,1.8,39
11/10/2018,173.4780731,-40.83137512,3.2,114
11/10/2018,176.8091815,-37.96864203,1.7,10
11/10/2018,177.89704,-38.38877206,1.7,18
11/10/2018,176.5569015,-40.22248144,1.5,15
11/10/2018,173.9511953,-40.33360993,2.7,32
11/10/2018,177.8956935,-37.76823148,1.8,47
11/10/2018,176.5416031,-39.95453115,2.3,11
11/10/2018,176.563283,-39.97601655,2.5,17
11/10/2018,174.2044963,-41.74592627,2,19
11/10/2018,178.1875322,-38.43185455,2.1,25
11/10/2018,175.6649017,-38.53478241,3,152
11/10/2018,175.1967295,-40.91706478,1.6,25
11/10/2018,176.7774727,-39.88830957,2.1,37
10/10/2018,177.3643121,-38.06497153,2.5,73
10/10/2018,177.044404,-39.52061074,2.5,23
10/10/2018,177.0209048,-39.51656617,2.4,22
10/10/2018,176.0934207,-38.63703609,1.6,7
10/10/2018,177.6282931,-38.73700777,1.8,21
10/10/2018,177.106274,-39.90654921,2.1,14
10/10/2018,176.5717285,-39.98127059,2.8,19
10/10/2018,177.3574937,-38.78369361,1.5,28
10/10/2018,173.7483247,-41.18355167,2,77
10/10/2018,174.3581125,-41.71039656,2.4,10
10/10/2018,176.8994834,-39.81533403,1.5,28
10/10/2018,178.11841,-37.88840671,2.2,28
10/10/2018,176.4135765,-38.18224202,2.4,130
10/10/2018,176.6939083,-38.16798261,1.7,10
10/10/2018,177.005397,-37.68726193,2.6,100
10/10/2018,171.6532842,-43.82229634,1.9,10
10/10/2018,172.3895584,-43.60860972,2.2,10
10/10/2018,172.7106854,-42.23295143,2.1,11
10/10/2018,177.6044402,-37.7625222,1.7,41
10/10/2018,175.1787757,-39.38149221,1.2,37
10/10/2018,176.6000715,-37.87466436,2,73
10/10/2018,173.2757568,-40.44826126,3.9,152
10/10/2018,174.8675808,-41.09074693,1.6,28
10/10/2018,177.0778245,-37.77616435,2.3,122
10/10/2018,173.9012372,-40.26370136,2.7,104
10/10/2018,177.468237,-39.13361357,2.1,20
10/10/2018,172.9710559,-42.68121766,2.5,47
10/10/2018,175.7133375,-39.426907,1.1,13
10/10/2018,177.3684628,-39.26969062,2.1,25
10/10/2018,176.7642771,-39.95457022,2,35
10/10/2018,172.2739036,-43.57943181,2.3,10
10/10/2018,177.2924347,-37.67727661,2.5,5
10/10/2018,177.5631732,-37.94783524,2.1,149
10/10/2018,174.2463782,-41.69293619,2.5,11
10/10/2018,176.5615788,-39.96429902,2.4,14
10/10/2018,173.6795068,-42.17439432,2.5,29
10/10/2018,167.8725128,-44.4968605,3.1,5
10/10/2018,174.0972986,-41.14549686,2.1,45
10/10/2018,174.1548003,-41.78867923,2,7
10/10/2018,176.1889028,-40.76066973,1.9,21
9/10/2018,178.1090698,-40.67193604,2.8,12
9/10/2018,174.1953395,-41.78653124,2.5,13
9/10/2018,176.3672943,-38.14933395,2.3,86
9/10/2018,173.0725405,-41.48902892,2.4,68
9/10/2018,172.2763027,-43.58367471,2.6,10
9/10/2018,176.0935381,-38.66121136,2.4,10
9/10/2018,176.0587962,-38.95645975,2.2,61
9/10/2018,177.7881451,-37.79487877,1.8,44
9/10/2018,177.6269986,-38.99768174,2,18
9/10/2018,170.0385132,-45.83534241,2.9,5
9/10/2018,174.349204,-40.42728311,2.6,30
9/10/2018,175.9310608,-38.33713913,3.3,152
9/10/2018,178.6551184,-38.33133226,2.9,38
9/10/2018,177.1923106,-36.99988527,2.8,36
9/10/2018,179.4591827,-33.49444199,3.6,200
9/10/2018,178.8559875,-37.26647568,2.3,12
9/10/2018,178.2303486,-37.81192847,2.6,34
9/10/2018,175.4944329,-39.15097373,0.3,18
9/10/2018,174.7926413,-40.72743071,1.8,30
9/10/2018,178.3303017,-37.60184519,2,15
9/10/2018,177.741832,-38.81877911,1.7,19
9/10/2018,168.7502104,-44.05751341,2.1,6
9/10/2018,177.7145786,-39.0444988,2.1,12
9/10/2018,175.3092198,-41.2939225,1.5,25
9/10/2018,175.6736114,-39.09714147,0.9,5
9/10/2018,174.1590181,-41.69871257,1.6,13
9/10/2018,178.4254898,-37.57815871,2.1,19
9/10/2018,176.2609298,-39.00430748,1.3,47
9/10/2018,174.1650848,-41.70181274,3,12
9/10/2018,175.6908932,-38.90895282,1.2,6
9/10/2018,172.3584966,-42.9106133,2.4,12
9/10/2018,175.6136397,-39.07749261,0.3,5
9/10/2018,178.0520677,-38.69418772,2.1,30
9/10/2018,175.857649,-40.63077972,1.7,21
9/10/2018,166.7280554,-46.35260882,2.7,6
9/10/2018,172.4114392,-43.61090294,2.8,11
9/10/2018,170.2607566,-44.48470742,2.4,5
9/10/2018,174.1322537,-41.67123293,1.6,10
9/10/2018,172.2134923,-43.56184574,1.7,5
9/10/2018,176.3302702,-39.64647871,1.5,19
9/10/2018,178.13303,-37.85554733,2.5,38
9/10/2018,173.9810121,-39.08646191,2.1,14
9/10/2018,175.9026642,-39.33211517,1.4,44
9/10/2018,174.2321092,-39.81984831,2.2,176
9/10/2018,177.4230837,-38.62909196,1.9,25
9/10/2018,177.4044235,-39.20747455,2.2,26
9/10/2018,174.8859138,-40.13646468,1.8,34
9/10/2018,176.6572544,-39.8880191,1.8,29
9/10/2018,175.2973863,-39.29504778,1.1,53
9/10/2018,177.5939949,-37.62891715,2,78
9/10/2018,177.378067,-38.68200684,2.2,34
9/10/2018,175.7808533,-38.48587418,2.1,153
8/10/2018,177.0199997,-39.86895814,2.3,40
8/10/2018,174.8626322,-40.97135097,2.6,55
8/10/2018,177.2913658,-37.62616868,2.5,106
8/10/2018,175.5783018,-39.38445854,0.8,10
8/10/2018,167.8012481,-45.02964165,3.2,64
8/10/2018,171.1710008,-43.67911624,2.5,5
8/10/2018,173.9186239,-41.51395543,2.5,53
8/10/2018,174.8907931,-40.14495046,2,35
8/10/2018,172.1055746,-43.18720864,2.3,11
8/10/2018,177.0139871,-39.52552122,1.9,19
8/10/2018,168.3451904,-44.54123122,2.2,5
8/10/2018,175.6300216,-39.34059528,0.9,9
8/10/2018,174.3052344,-41.77557344,2.5,18
8/10/2018,174.2915201,-40.40720549,2.4,30
8/10/2018,178.0446066,-37.79950429,2.2,40
8/10/2018,176.4425933,-40.13821855,1.7,5
8/10/2018,178.1393861,-37.52261848,2.6,38
8/10/2018,168.0129658,-44.59882177,2.7,7
8/10/2018,170.5762357,-43.96966373,2.2,15
8/10/2018,177.1232145,-36.99771775,2.2,30
8/10/2018,177.2374573,-39.48436356,3.8,19
8/10/2018,173.4184176,-42.36371287,1.9,24
8/10/2018,173.6422844,-40.84332697,2.9,116
8/10/2018,176.2008492,-37.78893508,2.4,156
8/10/2018,175.2058658,-41.17080599,1.9,24
8/10/2018,176.0678295,-38.52831021,1.9,89
8/10/2018,175.1868885,-41.17524721,1.7,24
8/10/2018,175.3706456,-39.32812502,1.6,25
8/10/2018,174.2417532,-41.57852332,1.3,15
8/10/2018,174.5989219,-41.06443769,2.4,35
8/10/2018,176.3191052,-40.29368611,2.5,5
8/10/2018,177.2298629,-38.46737324,2.8,90
8/10/2018,172.8242623,-41.28305731,2.4,111
8/10/2018,177.4546187,-37.62458211,1.7,48
8/10/2018,168.0181833,-44.57888939,2.3,5
8/10/2018,175.2190935,-40.35659228,1.9,22
8/10/2018,167.8379364,-44.44541931,2.9,5
8/10/2018,167.8345947,-44.45257568,3.2,5
8/10/2018,176.0000455,-40.43248659,1.4,23
8/10/2018,175.9488982,-38.80889703,1.3,9
8/10/2018,176.9273071,-39.77951384,2,36
8/10/2018,172.8423635,-41.39376916,1.7,97
8/10/2018,173.6564357,-42.28051972,2.3,30
